Persepolis Download Manager, 2019/06/12 17:04:59
2019-06-12 17:05:04,376 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2019-06-12 17:05:04,376 - Persepolis Download Manager - INFO - Starting Aria2
2019-06-12 17:05:06,582 - Persepolis Download Manager - INFO - Aria2 is running
2019-06-12 17:06:09,146 - Persepolis Download Manager - INFO - Please wait ...
2019-06-12 17:06:09,149 - Persepolis Download Manager - ERROR - Aria2 Shutdown Error
2019-06-12 17:06:09,851 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2019/06/12 17:06:12
2019-06-12 17:06:13,263 - Persepolis Download Manager - INFO - Aria2 is running
2019-06-12 17:06:33,968 - Persepolis Download Manager - INFO - Please wait ...
2019-06-12 17:06:33,971 - Persepolis Download Manager - ERROR - Aria2 Shutdown Error
2019-06-12 17:06:34,674 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2019/06/12 17:06:36
2019-06-12 17:06:37,006 - Persepolis Download Manager - INFO - Aria2 is running
2019-06-12 17:06:54,986 - Persepolis Download Manager - INFO - Please wait ...
2019-06-12 17:06:54,991 - Persepolis Download Manager - INFO - Aria2 Shutdown : OK
2019-06-12 17:06:55,692 - Persepolis Download Manager - INFO - Persepolis closed!
Persepolis Download Manager, 2019/06/13 11:05:58
2019-06-13 11:06:05,596 - Persepolis Download Manager - ERROR - Aria2 didn't respond!
2019-06-13 11:06:05,597 - Persepolis Download Manager - INFO - Starting Aria2
2019-06-13 11:06:07,888 - Persepolis Download Manager - INFO - Aria2 is running
2019-06-13 11:16:07,853 - Persepolis Download Manager - INFO - Please wait ...
2019-06-13 11:16:07,858 - Persepolis Download Manager - ERROR - Aria2 Shutdown Error
2019-06-13 11:16:08,559 - Persepolis Download Manager - INFO - Persepolis closed!
